num clonetime	clonespace	writetime	writespace	greptime
1   0.159007	32	0.720168	352	2.090
2   0.153622	32	1.068056	480	2.180
3   0.152111	32	0.773305	448	2.170
4   0.189665	32	0.803154	448	2.162
5   0.168895	32	0.794795	512	2.207
6   0.154177	32	0.830106	512	2.241
7   0.168795	32	0.881678	544	2.240
8   0.161546	32	0.839663	576	2.204
9   0.152676	32	0.854996	608	2.220
10  0.160924	32	0.941286	608	2.147
11  0.175266	32	0.941696	608	2.311
12  0.150284	32	0.995297	672	2.284
13  0.142059	32	0.891455	736	2.373
14  0.169394	32	0.857592	768	2.458
15  0.170704	32	0.957401	704	2.722
16  0.160263	32	0.400339	736	3.053
