num	clonetime	clonespace	writetime	writespace	greptime
1	0.363157	1.000000	0.785903	9000	3.175
2	0.345315	1.000000	0.766186	9000	3.44
3	0.327769	1000.000000	0.713334	8000	3.92
5	0.336452	1.000000	0.774105	9000	4.569
6	0.324929	1.000000	0.734639	9000	5.179
7	0.372873	1000.000000	0.777824	8000	5.734
8	0.358746	1.000000	0.758197	9000	6.289
9	0.376000	1.000000	0.792996	9000	6.904
10	0.344891	1000.000000	0.752063	8000	7.281
11	0.361185	1.000000	0.767266	9000	7.597
12	0.337250	1.000000	0.856478	9000	8.293
13	0.336946	1000.000000	0.680920	8000	8.843
14	0.369719	1.000000	0.633574	9000	9.313
15	0.365409	1.000000	0.665925	9000	9.783
16	0.305557	1.000000	0.642515	8000	10.167
17	0.353704	1.000000	0.216770	9000	10.485
