fs,size.MB,time.s,throughput.fps
ext4,12,1.738514,57.520388
ext4,13,1.735393,57.623835
ext4,14,1.734791,57.643831
ext4,15,1.743546,57.354380
ext4,16,1.734686,57.647321
ext4,17,1.767633,56.572829
ext4,18,1.758643,56.862024
ext4,19,1.732447,57.721824
ext4,20,1.772026,56.432581
ext4,21,1.741350,57.426709
ext4,22,1.734296,57.660284
ext4,23,1.740699,57.448186
ext4,24,1.762759,56.729252
ext4,25,1.749682,57.153243
ext4,26,1.773363,56.390034
,,,
btrfs,12,11.374893,8.791291
btrfs,13,12.107881,8.259083
btrfs,14,12.125272,8.247238
btrfs,15,11.320133,8.833818
btrfs,16,11.586793,8.630516
btrfs,17,11.537747,8.667203
btrfs,18,11.476623,8.713365
btrfs,19,10.937636,9.142743
btrfs,20,11.540127,8.665416
btrfs,21,11.494548,8.699777
btrfs,22,11.618844,8.606708
btrfs,23,11.232471,8.902761
btrfs,24,11.084249,9.021811
btrfs,25,11.100247,9.008809
btrfs,26,12.354630,8.094132
,,,
xfs,12,0.894497,111.794673
xfs,13,0.895527,111.666092
xfs,14,0.880829,113.529414
xfs,15,0.887589,112.664758
xfs,16,0.885627,112.914353
xfs,17,0.933634,107.108353
xfs,18,0.879688,113.676667
xfs,19,0.884662,113.037522
xfs,20,0.929940,107.533819
xfs,21,0.882791,113.277095
xfs,22,0.894021,111.854196
xfs,23,0.886983,112.741732
xfs,24,0.938391,106.565387
xfs,25,0.879593,113.688945
xfs,26,0.878161,113.874335
,,,
zfs,12,1.050483,95.194306
zfs,13,0.994648,100.538080
zfs,14,1.061632,94.194599
zfs,15,1.004498,99.552214
zfs,16,0.981530,101.881756
zfs,17,1.058019,94.516261
zfs,18,1.088131,91.900699
zfs,19,1.030318,97.057413
zfs,20,0.981643,101.870028
zfs,21,1.027891,97.286580
zfs,22,1.092142,91.563185
zfs,23,1.077386,92.817245
zfs,24,0.958068,104.376725
zfs,25,0.975586,102.502496
zfs,26,1.019586,98.079024
,,,
nilfs2,12,1.005002,99.502290
nilfs2,13,1.074862,93.035199
nilfs2,14,1.055127,94.775321
nilfs2,15,1.026570,97.411769
nilfs2,16,1.039618,96.189177
nilfs2,17,1.118443,89.410010
nilfs2,18,1.057787,94.536991
nilfs2,19,1.108240,90.233162
nilfs2,20,1.123312,89.022462
nilfs2,21,1.042357,95.936421
nilfs2,22,1.098931,90.997524
nilfs2,23,1.129806,88.510771
nilfs2,24,1.044950,95.698359
nilfs2,25,1.034808,96.636284
nilfs2,26,1.056595,94.643643
,,,
betrfs3,12,1.453379,68.805177
betrfs3,13,1.510258,66.213852
betrfs3,14,1.571180,63.646431
betrfs3,15,1.412686,70.787139
betrfs3,16,1.488436,67.184615
betrfs3,17,1.537625,65.035363
betrfs3,18,1.499815,66.674890
betrfs3,19,1.532655,65.246256
betrfs3,20,1.539696,64.947886
betrfs3,21,1.475317,67.782043
betrfs3,22,1.633253,61.227501
betrfs3,23,1.464204,68.296494
betrfs3,24,1.492367,67.007646
betrfs3,25,1.498406,66.737586
betrfs3,26,1.674355,59.724509
,,,
betrfs4,12,1.596864,62.622741
betrfs4,13,1.450635,68.935328
betrfs4,14,1.451904,68.875077
betrfs4,15,1.537158,65.055121
betrfs4,16,1.531625,65.290133
betrfs4,17,1.561460,64.042627
betrfs4,18,1.569012,63.734376
betrfs4,19,1.447754,69.072508
betrfs4,20,1.544952,64.726930
betrfs4,21,1.637495,61.068889
betrfs4,22,1.536852,65.068074
betrfs4,23,1.721805,58.078586
betrfs4,24,1.637506,61.068479
betrfs4,25,1.588793,62.940861
betrfs4,26,1.700806,58.795653
,,,
betrfs5,12,1.534660,65.161013
betrfs5,13,1.447516,69.083865
betrfs5,14,1.440839,69.404007
betrfs5,15,1.586913,63.015427
betrfs5,16,1.401642,71.344894
betrfs5,17,1.629357,61.373904
betrfs5,18,1.418235,70.510176
betrfs5,19,1.469152,68.066476
betrfs5,20,1.461411,68.427020
betrfs5,21,1.634728,61.172256
betrfs5,22,1.693615,59.045297
betrfs5,23,1.467737,68.132097
betrfs5,24,1.664428,60.080700
betrfs5,25,1.632284,61.263849
betrfs5,26,1.553469,64.372060
